Landtagswahl 2023; Wahldatum: 2023-10-08; Stand: 09.10.2023 02:49:03
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;SPD Wahlkreisstimmen;AfD Wahlkreisstimmen;FDP Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Verjüngungsforschung Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;PdH Wahlkreisstimmen;ABG Wahlkreisstimmen;APPD Wahlkreisstimmen;dieBasis Wahlkreisstimmen;DKP Wahlkreisstimmen;DIE NEUE MITTE Wahlkreisstimmen;Volt Wahlkreisstimmen;KLIMALISTE WÄHLERL. Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;WDMR Wahlkreisstimmen;BUNDESPA. KLIMALISTE Wahlkreisstimmen;MERA25 Wahlkreisstimmen;NEV Wahlkreisstimmen;PP Wahlkreisstimmen;SGV Wahlkreisstimmen;Solibew Wahlkreisstimmen;CDU Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Verjüngungsforschung Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);PdH Wahlkreisstimmen (%);ABG Wahlkreisstimmen (%);APPD Wahlkreisstimmen (%);dieBasis Wahlkreisstimmen (%);DKP Wahlkreisstimmen (%);DIE NEUE MITTE Wahlkreisstimmen (%);Volt Wahlkreisstimmen (%);KLIMALISTE WÄHLERL. Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);WDMR Wahlkreisstimmen (%);BUNDESPA. KLIMALISTE Wahlkreisstimmen (%);MERA25 Wahlkreisstimmen (%);NEV Wahlkreisstimmen (%);PP Wahlkreisstimmen (%);SGV Wahlkreisstimmen (%);Solibew Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;GRÜNE Landesstimmen;SPD Landesstimmen;AfD Landesstimmen;FDP Landesstimmen;DIE LINKE Landesstimmen;FREIE WÄHLER Landesstimmen;Tierschutzpartei Landesstimmen;Die PARTEI Landesstimmen;PIRATEN Landesstimmen;ÖDP Landesstimmen;Verjüngungsforschung Landesstimmen;V-Partei³ Landesstimmen;PdH Landesstimmen;ABG Landesstimmen;APPD Landesstimmen;dieBasis Landesstimmen;DKP Landesstimmen;DIE NEUE MITTE Landesstimmen;Volt Landesstimmen;KLIMALISTE WÄHLERL. Landesstimmen;Bündnis C Landesstimmen;WDMR Landesstimmen;BUNDESPA. KLIMALISTE Landesstimmen;MERA25 Landesstimmen;NEV Landesstimmen;PP Landesstimmen;SGV Landesstimmen;Solibew Landesstimmen;CDU Landesstimmen (%);GRÜNE Landesstimmen (%);SPD Landesstimmen (%);AfD Landesstimmen (%);FDP Landesstimmen (%);DIE LINKE Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);Tierschutzpartei Landesstimmen (%);Die PARTEI Landesstimmen (%);PIRATEN Landesstimmen (%);ÖDP Landesstimmen (%);Verjüngungsforschung Landesstimmen (%);V-Partei³ Landesstimmen (%);PdH Landesstimmen (%);ABG Landesstimmen (%);APPD Landesstimmen (%);dieBasis Landesstimmen (%);DKP Landesstimmen (%);DIE NEUE MITTE Landesstimmen (%);Volt Landesstimmen (%);KLIMALISTE WÄHLERL. Landesstimmen (%);Bündnis C Landesstimmen (%);WDMR Landesstimmen (%);BUNDESPA. KLIMALISTE Landesstimmen (%);MERA25 Landesstimmen (%);NEV Landesstimmen (%);PP Landesstimmen (%);SGV Landesstimmen (%);Solibew Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
00000000000;"Hessen";"LD";;"";4331942;3201986;1129043;913;2858093;1053872;66,0;2;52198;2805895;1,8;98,2;997602;397532;512229;490828;137268;90529;130987;5181;18598;1346;;;155;878;321;91;4287;776;;13707;;757;187;952;99;880;420;161;124;35,6;14,2;18,3;17,5;4,9;3,2;4,7;0,2;0,7;0,0;;;0,0;0,0;0,0;0,0;0,2;0,0;;0,5;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;45533;2812560;1,6;98,4;972595;415888;424487;518674;141608;86821;98256;43339;23651;8633;5900;1521;9462;4265;4440;1962;13668;2235;1376;27576;6203;;;;;;;;;34,6;14,8;15,1;18,4;5,0;3,1;3,5;1,5;0,8;0,3;0,2;0,1;0,3;0,2;0,2;0,1;0,5;0,1;0,0;1,0;0,2;;;;;;;;;"";"";"";"";6889;6889;2023-10-09 02:38:34;1;;"";
00100000000;"Kassel-Land I";"WK";;"";80130;59945;20185;0;54769;19096;68,4;2;1335;53434;2,4;97,6;16433;4166;16410;9825;1781;1519;2979;;;;;;;;;;321;;;;;;;;;;;;;30,8;7,8;30,7;18,4;3,3;2,8;5,6;;;;;;;;;;0,6;;;;;;;;;;;;;1277;53492;2,3;97,7;17176;5015;12519;10561;1945;1401;2306;981;362;151;90;33;188;46;93;33;299;26;19;149;99;;;;;;;;;32,1;9,4;23,4;19,7;3,6;2,6;4,3;1,8;0,7;0,3;0,2;0,1;0,4;0,1;0,2;0,1;0,6;0,0;0,0;0,3;0,2;;;;;;;;;"Göttlicher";"Hans Christian";"";"CDU";134;134;2023-10-08 21:54:18;1;;"";
00200000000;"Kassel-Land II";"WK";;"";81910;60620;21290;0;55400;20046;67,6;2;1266;54134;2,3;97,7;16439;5890;15323;10288;1816;1607;2482;;;;;;;;;;289;;;;;;;;;;;;;30,4;10,9;28,3;19,0;3,4;3,0;4,6;;;;;;;;;;0,5;;;;;;;;;;;;;1139;54261;2,1;97,9;16788;6186;12733;10704;2210;1499;1705;940;314;157;81;42;162;43;105;30;230;33;30;176;93;;;;;;;;;30,9;11,4;23,5;19,7;4,1;2,8;3,1;1,7;0,6;0,3;0,1;0,1;0,3;0,1;0,2;0,1;0,4;0,1;0,1;0,3;0,2;;;;;;;;;"Schölch";"Anna-Maria";"";"CDU";111;111;2023-10-08 21:45:06;1;;"";
00300000000;"Kassel-Stadt I";"WK";;"";69862;51246;18616;0;46732;17607;66,9;2;834;45898;1,8;98,2;12079;12691;8636;5377;1740;3558;1342;;;;;;;;;;326;;;;;;;112;;;;;37;26,3;27,7;18,8;11,7;3,8;7,8;2,9;;;;;;;;;;0,7;;;;;;;0,2;;;;;0,1;569;46163;1,2;98,8;12070;11344;8211;5521;1881;3655;985;665;473;130;112;40;141;72;33;32;308;52;22;322;94;;;;;;;;;26,1;24,6;17,8;12,0;4,1;7,9;2,1;1,4;1,0;0,3;0,2;0,1;0,3;0,2;0,1;0,1;0,7;0,1;0,0;0,7;0,2;;;;;;;;;"Gronemann";"Vanessa";"";"GRÜNE";127;127;2023-10-08 22:00:31;1;;"";
00400000000;"Kassel-Stadt II";"WK";;"";64835;52186;12649;0;33975;11799;52,4;2;711;33264;2,1;97,9;8059;6197;6432;6114;1145;3838;1069;;;;;;155;;;;168;;;;;;;;;;;;87;24,2;18,6;19,3;18,4;3,4;11,5;3,2;;;;;;0,5;;;;0,5;;;;;;;;;;;;0,3;610;33365;1,8;98,2;7887;5828;6114;6268;1223;3091;825;598;479;126;91;15;112;58;36;47;137;74;15;269;72;;;;;;;;;23,6;17,5;18,3;18,8;3,7;9,3;2,5;1,8;1,4;0,4;0,3;0,0;0,3;0,2;0,1;0,1;0,4;0,2;0,0;0,8;0,2;;;;;;;;;"Bathon";"Maximilian";"";"CDU";115;115;2023-10-08 22:00:38;1;;"";
00500000000;"Waldeck-Frankenberg I";"WK";;"";67494;51112;16382;0;45461;15491;67,4;2;847;44614;1,9;98,1;17034;3609;8868;8775;3166;785;2091;;;;;;;;;;286;;;;;;;;;;;;;38,2;8,1;19,9;19,7;7,1;1,8;4,7;;;;;;;;;;0,6;;;;;;;;;;;;;727;44734;1,6;98,4;16790;4321;7353;9443;2464;807;1852;625;220;120;46;23;97;36;63;21;268;29;11;95;50;;;;;;;;;37,5;9,7;16,4;21,1;5,5;1,8;4,1;1,4;0,5;0,3;0,1;0,1;0,2;0,1;0,1;0,0;0,6;0,1;0,0;0,2;0,1;;;;;;;;;"Pohlmann";"Jan-Wilhelm";"";"CDU";147;147;2023-10-08 21:09:58;1;;"";
00600000000;"Waldeck-Frankenberg II";"WK";;"";68218;53104;15113;1;45439;14208;66,6;2;960;44479;2,1;97,9;16229;3720;9273;9518;2585;968;1920;;;;;;;;;;266;;;;;;;;;;;;;36,5;8,4;20,8;21,4;5,8;2,2;4,3;;;;;;;;;;0,6;;;;;;;;;;;;;950;44489;2,1;97,9;16561;4271;7286;10092;2011;858;1638;634;250;121;78;25;105;31;64;18;256;27;13;67;83;;;;;;;;;37,2;9,6;16,4;22,7;4,5;1,9;3,7;1,4;0,6;0,3;0,2;0,1;0,2;0,1;0,1;0,0;0,6;0,1;0,0;0,2;0,2;;;;;;;;;"Ravensburg";"Claudia";"";"CDU";144;144;2023-10-08 21:34:20;1;;"";
00700000000;"Schwalm-Eder I";"WK";;"";71546;52472;19074;0;51541;18046;72,0;2;1243;50298;2,4;97,6;13724;5015;13244;10345;2783;1502;3685;;;;;;;;;;;;;;;;;;;;;;;27,3;10,0;26,3;20,6;5,5;3,0;7,3;;;;;;;;;;;;;;;;;;;;;;;1120;50421;2,2;97,8;14273;5230;11376;10724;2535;1186;2787;926;368;165;78;33;129;38;86;44;163;36;26;145;73;;;;;;;;;28,3;10,4;22,6;21,3;5,0;2,4;5,5;1,8;0,7;0,3;0,2;0,1;0,3;0,1;0,2;0,1;0,3;0,1;0,1;0,3;0,1;;;;;;;;;"Leyh";"Dominik";"";"CDU";142;142;2023-10-08 21:35:11;1;;"";
00800000000;"Schwalm-Eder II";"WK";;"";69804;53046;16758;0;48515;15841;69,5;2;1260;47255;2,6;97,4;14000;3233;9911;11815;3154;1132;4010;;;;;;;;;;;;;;;;;;;;;;;29,6;6,8;21,0;25,0;6,7;2,4;8,5;;;;;;;;;;;;;;;;;;;;;;;1118;47397;2,3;97,7;14427;3515;8589;12420;2354;972;3172;800;293;120;48;31;114;37;98;39;178;29;22;64;75;;;;;;;;;30,4;7,4;18,1;26,2;5,0;2,1;6,7;1,7;0,6;0,3;0,1;0,1;0,2;0,1;0,2;0,1;0,4;0,1;0,0;0,1;0,2;;;;;;;;;"Ziegler";"Christin";"";"CDU";177;177;2023-10-08 22:32:43;1;;"";
00900000000;"Eschwege-Witzenhausen";"WK";;"";62259;46371;15888;0;41352;14756;66,4;2;1112;40240;2,7;97,3;11721;4422;10445;7421;1423;1567;2498;;743;;;;;;;;;;;;;;;;;;;;;29,1;11,0;26,0;18,4;3,5;3,9;6,2;;1,8;;;;;;;;;;;;;;;;;;;;;1064;40288;2,6;97,4;12537;4445;8491;7976;1490;1397;2033;695;413;113;78;19;103;39;61;29;171;44;22;79;53;;;;;;;;;31,1;11,0;21,1;19,8;3,7;3,5;5,0;1,7;1,0;0,3;0,2;0,0;0,3;0,1;0,2;0,1;0,4;0,1;0,1;0,2;0,1;;;;;;;;;"Schneider";"Stefan";"";"CDU";127;127;2023-10-08 21:54:38;1;;"";
